コード,銘柄名,市場,現在値,前日比(%),入力CSV,配当利回り(予)(%),時価総額(百万円),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),自己資本比率(%),PER(株価収益率)(予)(倍),売上高成長率(予)(%),経常利益成長率(予)(%),過去3年平均売上高成長率(予)(%),経常利益変化率(%)
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東G,4120,+5.0(+0.12%),8274.csv,,,,,,43.10,47.96,58.99,50.38,
1384,ホクリヨウ,東S,2181,-14.0(-0.64%),8271.csv,3.76,"18,449",,,,,,,,
1414,ショーボンドＨＬＤＧ,東P,1280.5,+7.5(+0.59%),8271.csv,3.64,"280,405",,,,,,,,
1419,タマホーム,東P,3060,-5.0(-0.16%),8271.csv,4.08,"90,135",,,,,,,,
1436,グリーンエナジー＆カンパニー,東G,1581,+19.0(+1.22%),8274.csv,,,,,,21.72,19.84,45.77,37.62,
1605,ＩＮＰＥＸ,東P,3837.0,-41.0(-1.06%),8273.csv,,"4,831,305",0.94,8.20,61.37,9.65,,,,
1662,石油資源開発,東P,1818,-51.0(-2.73%),8271.csv / 8273.csv,3.10,"467,227",0.74,9.20,72.76,6.34,,,,
1717,明豊ファシリティワークス,東S,960,+4.0(+0.42%),8271.csv,4.58,"12,265",,,,,,,,
1719,安藤・間,東P,1932.5,+28.5(+1.50%),8271.csv,4.54,"349,823",,,,,,,,
1720,東急建設,東P,1172,+10.0(+0.86%),8271.csv,3.63,"125,124",,,,,,,,
1762,高松コンストラクショングループ,東P,4050,+55.0(+1.38%),8271.csv,3.73,"141,015",,,,,,,,
1786,オリエンタル白石,東P,362,+3.0(+0.84%),8271.csv,4.01,"50,249",,,,,,,,
1801,大成建設,東P,12815.0,+10.0(+0.08%),8275.csv,,"2,091,227",,18.70,,,,5.91,6.01,45.55
1802,大林組,東P,2973.0,-38.0(-1.26%),8271.csv,3.19,"2,056,755",,,,,,,,
1803,清水建設,東P,2393.5,+9.0(+0.38%),8271.csv / 8275.csv,3.40,"1,715,396",,13.80,,,,42.44,8.58,70.69
1808,長谷工コーポレーション,東P,2857.5,-9.5(-0.33%),8271.csv / 8275.csv,3.64,"835,761",,10.00,,,,16.71,8.16,12.76
1812,鹿島建設,東P,4829.0,-6.0(-0.12%),8271.csv,3.30,"2,552,880",,,,,,,,
1813,不動テトラ,東P,2882,+13.0(+0.45%),8271.csv,3.99,"47,523",,,,,,,,
1820,西松建設,東P,5578.0,+41.0(+0.74%),8271.csv,4.47,"233,113",,,,,,,,
1835,東鉄工業,東P,4020,+35.0(+0.88%),8271.csv,3.83,"145,122",,,,,,,,
1860,戸田建設,東P,1520.0,+5.0(+0.33%),8271.csv,3.73,"483,369",,,,,,,,
1861,熊谷組,東P,1304,+4.0(+0.31%),8271.csv,4.03,"225,777",,,,,,,,
1870,矢作建設工業,東P,2181,+28.0(+1.30%),8271.csv,5.04,"97,289",,,,,,,,
1878,大東建託,東P,3357.0,+26.0(+0.78%),8271.csv,4.97,"1,156,805",,,,,,,,
1885,東亜建設工業,東P,2105,+24.0(+1.15%),8271.csv,4.16,"185,195",,,,,,,,
1893,五洋建設,東P,1448.5,+15.0(+1.05%),8271.csv,3.52,"414,291",,,,,,,,
1911,住友林業,東P,1347.0,+6.0(+0.45%),8271.csv,3.71,"833,209",,,,,,,,
1925,大和ハウス工業,東P,4717.0,+8.0(+0.17%),8271.csv,3.79,"3,112,419",,,,,,,,
1926,ライト工業,東P,3785,+15.0(+0.40%),8271.csv,3.94,"162,643",,,,,,,,
1928,積水ハウス,東P,3461.0,+1.0(+0.03%),8271.csv,4.19,"2,255,138",,,,,,,,
1929,日特建設,東P,1182,-1.0(-0.08%),8271.csv,4.23,"49,402",,,,,,,,
1934,ユアテック,東P,2548,+29.0(+1.15%),8271.csv,3.38,"176,300",,,,,,,,
1942,関電工,東P,5446.0,+46.0(+0.85%),8275.csv,,"1,118,000",,16.80,,,,17.89,8.27,42.83
1944,きんでん,東P,6950.0,+89.0(+1.30%),8271.csv,3.29,"1,156,857",,,,,,,,
1946,トーエネック,東P,2176,+13.0(+0.60%),8271.csv,3.49,"210,310",,,,,,,,
1950,日本電設工業,東P,3940,+25.0(+0.64%),8271.csv,3.26,"242,457",,,,,,,,
1951,エクシオグループ,東P,2624.5,+21.0(+0.81%),8271.csv,3.02,"539,662",,,,,,,,
1968,太平電業,東P,2528,+49.0(+1.98%),8274.csv,,,,,,12.76,10.83,16.95,11.77,
1969,高砂熱学工業,東P,4316.0,+2.0(+0.05%),8275.csv,,"606,307",,19.20,,,,10.38,8.34,44.82
1979,大氣社,東P,3935,+35.0(+0.90%),8271.csv,3.03,"249,731",,,,,,,,
197A,タウンズ,東S,503,+1.0(+0.20%),8271.csv,5.67,"53,671",,,,,,,,
1980,ダイダン,東P,2749,+21.0(+0.77%),8271.csv,3.02,"379,063",,,,,,,,
1982,日比谷総合設備,東P,3000,+22.0(+0.74%),8271.csv,3.67,"132,000",,,,,,,,
2002,日清製粉グループ本社,東P,2057.0,-9.0(-0.44%),8271.csv,3.16,"577,135",,,,,,,,
2121,ＭＩＸＩ,東P,3665,+100.0(+2.81%),8271.csv,3.77,"251,166",,,,,,,,
2124,ジェイエイシーリクルートメント,東P,998,-5.0(-0.50%),8271.csv / 8274.csv / 8275.csv,4.07,"165,226",,41.50,,16.09,14.82,14.28,16.26,28.36
2127,日本Ｍ＆ＡセンターＨＬＤＧ,東P,688.3,+2.4(+0.35%),8271.csv / 8275.csv,4.31,"231,912",,25.70,,,,7.71,10.79,13.22
2130,メンバーズ,東P,946,+1.0(+0.11%),8271.csv,3.70,"12,698",,,,,,,,
2146,ＵＴグループ,東P,230,+0.0(+0.00%),8271.csv,5.36,"138,376",,,,,,,,
2148,アイティメディア,東P,1260,-1.0(-0.08%),8271.csv,3.97,"26,632",,,,,,,,
2154,オープンアップグループ,東P,2042,+8.0(+0.39%),8271.csv,4.44,"185,460",,,,,,,,
2158,ＦＲＯＮＴＥＯ,東G,631,-11.0(-1.71%),8274.csv,,,,,,29.49,17.75,42.22,21.47,
215A,タイミー,東G,1714,+24.0(+1.42%),8274.csv,,,,,,25.29,131.97,156.41,19.21,
2160,ジーエヌアイグループ,東G,2761,+35.0(+1.28%),8274.csv,,,,,,180.62,51.19,119.18,31.10,
2170,リンクアンドモチベーション,東P,697,+5.0(+0.72%),8274.csv,,,,,,21.48,12.52,45.04,11.68,
2181,パーソルＨＬＤＧ,東P,296.9,-1.2(-0.40%),8271.csv / 8275.csv,4.28,"676,468",,20.90,,,,11.68,7.68,13.61
2198,アイ・ケイ・ケイＨＬＤＧ,東P,788,-3.0(-0.38%),8271.csv,3.05,"23,606",,,,,,,,
2216,カンロ,東S,1085,-12.0(-1.09%),8271.csv,3.04,"49,852",,,,,,,,
2222,寿スピリッツ,東P,2715.0,-10.5(-0.39%),8275.csv,,"422,613",,28.50,,,,16.96,9.28,5.92
2270,雪印メグミルク,東P,3725,+20.0(+0.54%),8273.csv,,"237,787",0.95,13.60,55.68,8.65,,,,
2281,プリマハム,東P,2428,-5.0(-0.21%),8271.csv,3.29,"122,673",,,,,,,,
2292,Ｓ　ＦＯＯＤＳ,東P,2961,+24.0(+0.82%),8271.csv,3.71,"95,545",,,,,,,,
2301,学情,東P,1721,-8.0(-0.46%),8271.csv,4.36,"26,779",,,,,,,,
2317,システナ,東P,444,+0.0(+0.00%),8271.csv,3.90,"189,091",,,,,,,,
2326,デジタルアーツ,東P,4410,-35.0(-0.79%),8274.csv,,,,,,14.81,13.31,16.98,10.90,
2327,日鉄ソリューションズ,東P,3899.0,-3.0(-0.08%),8275.csv,,"713,525",,11.40,,,,7.96,11.00,15.89
2337,いちご,東P,412,+0.0(+0.00%),8271.csv,3.79,"171,643",,,,,,,,
2353,日本駐車場開発,東P,271,+0.0(+0.00%),8271.csv / 8274.csv,3.51,"94,416",,,,14.11,10.77,18.49,11.71,
2371,カカクコム,東P,3660.0,+5.0(+0.14%),8274.csv,,,,,,32.54,18.95,18.27,19.48,
2379,ディップ,東P,1878,-12.0(-0.63%),8271.csv,5.14,"112,943",,,,,,,,
2384,ＳＢＳ　ＨＬＤＧ,東P,5140,+30.0(+0.59%),8274.csv / 8275.csv,,"204,152",,12.70,,14.29,16.05,19.26,12.68,14.52
2395,新日本科学,東P,1387,+1.0(+0.07%),8271.csv,3.60,"57,744",,,,,,,,
2413,エムスリー,東P,1752.5,+2.5(+0.14%),8275.csv,,"1,190,167",,12.50,,,,6.35,17.38,17.74
2415,ヒューマンＨＬＤＧ,東S,1697,+19.0(+1.13%),8271.csv,4.18,"17,611",,,,,,,,
2429,ワールドＨＬＤＧ,東P,2833,+20.0(+0.71%),8271.csv,4.81,"51,035",,,,,,,,
2462,ライク,東P,1551,+1.0(+0.06%),8271.csv,3.87,"31,741",,,,,,,,
2471,エスプール,東P,292,-2.0(-0.68%),8271.csv,3.42,"23,070",,,,,,,,
2475,ＷＤＢ　ＨＬＤＧ,東P,1840,+7.0(+0.38%),8271.csv,5.11,"36,910",,,,,,,,
247A,Ａｉロボティクス,東G,948,+13.0(+1.39%),8274.csv,,,,,,11.07,100.22,106.56,103.42,
2491,バリューコマース,東P,503,+9.0(+1.82%),8271.csv,3.18,"17,339",,,,,,,,
2492,インフォマート,東P,596,-6.0(-1.00%),8274.csv,,,,,,47.23,13.53,70.24,16.91,
2502,アサヒグループＨＬＤＧ,東P,1679.0,-9.0(-0.53%),8271.csv,3.36,"2,553,776",,,,,,,,
2585,ライフドリンク　カンパニー,東P,1604,-46.0(-2.79%),8274.csv,,,,,,19.33,40.12,22.88,28.71,
2586,フルッタフルッタ,東G,78,+0.0(+0.00%),8274.csv,,,,,,26.53,47.02,193.65,34.62,
262A,インターメスティック,東P,1818,-33.0(-1.78%),8274.csv,,,,,,10.44,73.75,37.15,39.39,
2659,サンエー,東P,3370,-10.0(-0.30%),8271.csv,3.64,"215,556",,,,,,,,
2674,ハードオフコーポレーション,東P,2700,-23.0(-0.84%),8271.csv / 8274.csv,3.41,"37,676",,,,11.18,17.73,20.09,17.43,
2676,高千穂交易,東P,2098,+7.0(+0.33%),8271.csv,3.62,"42,681",,,,,,,,
2726,パルグループＨＬＤＧ,東P,1508,-41.0(-2.65%),8275.csv,,"279,113",,22.90,,,,6.58,9.42,13.37
2733,あらた,東P,2730,+20.0(+0.74%),8271.csv,4.10,"98,437",,,,,,,,
2760,東京エレクトロン　デバイス,東P,4050,+60.0(+1.50%),8271.csv,3.19,"126,913",,,,,,,,
2767,円谷フィールズＨＬＤＧ,東P,2517,-7.0(-0.28%),8271.csv / 8274.csv / 8275.csv,4.17,"164,685",,23.30,,10.69,18.12,25.77,20.96,7.83
2768,双日,東P,5629.0,-67.0(-1.18%),8271.csv,3.20,"1,182,090",,,,,,,,
277A,グロービング,東P,1816,-38.0(-2.05%),8274.csv,,,,,,15.18,40.06,20.17,39.76,
2784,アルフレッサＨＬＤＧ,東P,2325.5,+6.5(+0.28%),8271.csv,3.12,"444,868",,,,,,,,
2815,アリアケジャパン,東P,5430,-10.0(-0.18%),8271.csv,5.52,"178,151",,,,,,,,
286A,ユカリア,東G,810,-8.0(-0.98%),8274.csv,,,,,,17.26,31.13,19.22,27.88,
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,東G,1494,+65.0(+4.55%),8274.csv,,,,,,63.06,175.61,446.18,68.15,
2914,日本たばこ産業,東P,6983.0,-3.0(-0.04%),8271.csv / 8274.csv / 8275.csv,3.90,"13,966,000",,13.00,,19.49,11.12,21.98,10.61,216.46
2915,ケンコーマヨネーズ,東P,2020,-17.0(-0.83%),8271.csv,3.56,"33,282",,,,,,,,
2918,わらべや日洋ＨＬＤＧ,東P,2864,-12.0(-0.42%),8271.csv,4.36,"50,480",,,,,,,,
2929,ファーマフーズ,東P,623,+3.0(+0.48%),8271.csv,4.01,"18,116",,,,,,,,
2930,北の達人,東P,132,+3.0(+2.33%),8271.csv,3.03,"18,622",,,,,,,,
2975,スター・マイカ・ＨＬＤＧ,東P,1593,-4.0(-0.25%),8271.csv,3.39,"61,456",,,,,,,,
2980,ＳＲＥ　ＨＬＤＧ,東P,2410,-4.0(-0.17%),8274.csv,,,,,,12.39,23.32,27.54,23.22,
3002,グンゼ,東P,4230,+25.0(+0.59%),8271.csv,5.11,"133,613",,,,,,,,
3003,ヒューリック,東P,1805.5,+2.0(+0.11%),8271.csv / 8275.csv,3.81,"1,386,457",,13.00,,,,8.23,22.98,12.05
3010,ポラリス・ＨＬＤＧ,東S,193,+2.0(+1.05%),8271.csv / 8274.csv,5.18,"45,176",,,,22.73,12.88,27.07,40.08,
3031,ラクーンＨＬＤＧ,東P,655,+0.0(+0.00%),8271.csv,3.44,"13,927",,,,,,,,
3050,ＤＣＭ　ＨＬＤＧ,東P,1622,+7.0(+0.43%),8271.csv,3.14,"237,623",,,,,,,,
3064,ＭｏｎｏｔａＲＯ,東P,1861.0,+4.0(+0.22%),8274.csv / 8275.csv,,"923,346",,28.70,,24.85,14.07,16.36,14.97,23.41
3076,あいＨＬＤＧ,東P,2968,+6.0(+0.20%),8271.csv,4.21,"167,960",,,,,,,,
3092,ＺＯＺＯ,東P,1142.0,-6.5(-0.57%),8271.csv / 8275.csv,3.56,"1,018,701",,46.60,,,,7.65,6.48,6.74
3093,トレジャー・ファクトリー,東P,2172,+33.0(+1.54%),8274.csv,,,,,,14.14,13.28,10.77,14.21,
3104,富士紡ＨＬＤＧ,東P,3480,-10.0(-0.29%),8271.csv / 8274.csv,3.08,"118,536",,,,16.80,18.52,25.90,12.63,
3110,日東紡績,東P,2901,-70.0(-2.36%),8274.csv,,,,,,27.35,20.55,46.12,14.33,
3116,トヨタ紡織,東P,2250.5,+16.0(+0.72%),8271.csv,3.85,"422,342",,,,,,,,
3132,マクニカＨＬＤＧ,東P,3520.0,+87.0(+2.53%),8274.csv,,,,,,14.84,28.18,59.87,22.67,
3139,ラクト・ジャパン,東P,3435,+10.0(+0.29%),8271.csv,3.84,"34,522",,,,,,,,
3150,グリムス,東P,2545,+25.0(+0.99%),8271.csv,3.69,"60,666",,,,,,,,
3156,レスター,東P,5090,+305.0(+6.37%),8271.csv,3.09,"153,070",,,,,,,,
3176,三洋貿易,東P,1130,+28.0(+2.54%),8271.csv,3.54,"65,557",,,,,,,,
3179,シュッピン,東P,1226,-9.0(-0.73%),8271.csv,3.26,"26,180",,,,,,,,
3180,ビューティガレージ,東P,1541,-35.0(-2.22%),8274.csv,,,,,,14.00,11.99,43.82,12.63,
3186,ネクステージ,東P,3385,-5.0(-0.15%),8274.csv / 8275.csv,,"273,864",,16.90,,14.55,18.94,44.12,18.45,52.22
3196,ホットランドＨＬＤＧ,東P,1653,-14.0(-0.84%),8274.csv,,,,,,54.38,11.46,13.81,11.06,
3231,野村不動産ＨＬＤＧ,東P,936.0,+0.6(+0.06%),8271.csv,4.79,"859,194",,,,,,,,
3232,三重交通グループＨＬＤＧ,東P,602,+6.0(+1.01%),8271.csv,3.32,"64,596",,,,,,,,
3252,地主,東P,3005,+24.0(+0.81%),8271.csv,4.33,"64,817",,,,,,,,
325A,ＴＥＮＴＩＡＬ,東G,1797,+11.0(+0.62%),8274.csv,,,,,,16.48,188.11,213.74,58.08,
3287,星野リゾート・リート投資法人,東REIT,244300,"+2,900.0(+1.20%)",8274.csv,,,,,,18.97,12.22,22.70,13.73,
3288,オープンハウスグループ,東P,7999.0,-4.0(-0.05%),8275.csv,,"934,059",,20.10,,,,23.45,7.60,15.97
3289,東急不動産ＨＬＤＧ,東P,1346.5,+4.0(+0.30%),8271.csv / 8275.csv,3.79,"969,252",,11.20,,,,10.18,10.55,14.44
3291,飯田グループＨＬＤＧ,東P,2373.5,+31.5(+1.35%),8271.csv,3.94,"665,480",,,,,,,,
3299,ムゲンエステート,東S,1738,+1.0(+0.06%),8271.csv,7.48,"42,339",,,,,,,,
