コード,銘柄名,市場,現在値,前日比(%),入力CSV,配当利回り(予)(%),時価総額(百万円),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),自己資本比率(%),PER(株価収益率)(予)(倍),売上高成長率(予)(%),経常利益成長率(予)(%),過去3年平均売上高成長率(予)(%),経常利益変化率(%)
4543,テルモ,東P,2572.0,-24.5(-0.94%),8274.csv,,,,,,21.12,11.43,36.89,10.33,
4544,Ｈ．Ｕ．グループＨＬＤＧ,東P,3659.0,-31.0(-0.84%),8271.csv,3.42,"210,372",,,,,,,,
4547,キッセイ薬品工業,東P,4110,+35.0(+0.86%),8271.csv,3.94,"191,288",,,,,,,,
4552,ＪＣＲファーマ,東P,535,+15.0(+2.88%),8271.csv,3.74,"69,382",,,,,,,,
4554,富士製薬工業,東P,1844,-1.0(-0.05%),8274.csv,,,,,,24.38,16.77,39.25,14.36,
4559,ゼリア新薬工業,東P,2069,-1.0(-0.05%),8273.csv,,"103,697",0.84,8.50,60.32,9.50,,,,
4565,ネクセラファーマ,東P,1116,+8.0(+0.72%),8274.csv,,,,,,19.80,35.55,140.52,17.99,
4568,第一三共,東P,2900.0,+70.5(+2.49%),8271.csv / 8274.csv,3.40,"5,402,390",,,,18.50,10.86,37.13,11.70,
4577,ダイト,東P,1375,+14.0(+1.03%),8271.csv,3.27,"39,675",,,,,,,,
4595,ミズホメディー,東S,1733,-1.0(-0.06%),8271.csv,5.77,"33,016",,,,,,,,
4612,日本ペイントＨＬＤＧ,東P,1194.5,+0.5(+0.04%),8275.csv,,"2,831,577",,10.60,,,,7.68,11.46,38.04
4613,関西ペイント,東P,2891.0,-1.5(-0.05%),8271.csv,3.83,"514,529",,,,,,,,
4617,中国塗料,東P,3610,+50.0(+1.40%),8271.csv,3.08,"198,550",,,,,,,,
4626,太陽ＨＬＤＧ,東P,4750.0,-4.0(-0.08%),8271.csv,3.84,"554,988",,,,,,,,
4631,ＤＩＣ,東P,5065.0,-30.0(-0.59%),8271.csv,3.22,"481,970",,,,,,,,
4633,サカタインクス,東P,2695,+36.0(+1.35%),8271.csv,3.71,"134,750",,,,,,,,
464A,ＱＰＳＨＬＤＧ,東G,1836,+51.0(+2.86%),8274.csv,,,,,,20.99,171.36,367.32,96.20,
4662,フォーカスシステムズ,東P,1681,-19.0(-1.12%),8271.csv,4.05,"27,388",,,,,,,,
4666,パーク２４,東P,2027.0,+6.5(+0.32%),8271.csv,3.25,"346,715",,,,,,,,
4668,明光ネットワークジャパン,東P,796,+4.0(+0.51%),8271.csv,3.64,"20,540",,,,,,,,
4676,フジ・メディアＨＬＤＧ,東P,4147.0,-26.0(-0.62%),8271.csv,4.82,"701,353",,,,,,,,
4680,ラウンドワン,東P,1352.0,+4.5(+0.33%),8274.csv / 8275.csv,,"390,947",,22.20,,18.24,14.87,13.12,10.89,10.48
4684,オービック,東P,4774.0,-2.0(-0.04%),8274.csv / 8275.csv,,"2,348,808",,15.80,,24.66,11.47,11.37,11.49,16.72
4687,ＴＤＣソフト,東P,1039,+12.0(+1.17%),8271.csv,3.27,"51,459",,,,,,,,
4694,ビー・エム・エル,東P,3675,+20.0(+0.55%),8271.csv,3.40,"149,754",,,,,,,,
4704,トレンドマイクロ,東P,5569.0,+15.0(+0.27%),8271.csv,3.44,"784,681",,,,,,,,
4714,リソー教育グループ,東P,208,+0.0(+0.00%),8271.csv,4.81,"35,736",,,,,,,,
4719,アルファシステムズ,東P,3380,+5.0(+0.15%),8271.csv,4.14,"47,497",,,,,,,,
471A,ＮＳグループ,東P,1612,-2.0(-0.12%),8271.csv / 8274.csv,4.94,"84,075",,,,10.42,10.61,26.71,11.90,
4732,ユー・エス・エス,東P,1997.0,+21.0(+1.06%),8275.csv,,"946,578",,20.10,,,,7.11,8.96,10.40
4733,オービックビジネスコンサルタン,東P,8310.0,-80.0(-0.95%),8274.csv,,,,,,31.00,13.96,15.65,11.66,
4743,アイティフォー,東P,1670,-14.0(-0.83%),8271.csv / 8274.csv,4.79,"46,613",,,,13.81,14.28,14.70,13.34,
4751,サイバーエージェント,東P,1340.0,-3.5(-0.26%),8275.csv,,"679,521",,18.90,,,,17.56,8.81,72.98
4763,クリーク・アンド・リバー社,東P,1534,+7.0(+0.46%),8271.csv,3.39,"35,296",,,,,,,,
4776,サイボウズ,東P,2913,-107.0(-3.54%),8274.csv,,,,,,16.49,14.61,16.22,20.24,
4783,ＮＣＤ,東S,2643,+23.0(+0.88%),8271.csv,4.54,"21,514",,,,,,,,
4784,ＧＭＯインターネット,東P,571,+2.0(+0.35%),8271.csv,3.85,"173,983",,,,,,,,
4812,電通総研,東P,2711,-15.0(-0.55%),8275.csv,,"530,129",,17.10,,,,11.96,9.35,11.97
4819,デジタルガレージ,東P,2242,-65.0(-2.82%),8274.csv,,,,,,39.90,21.68,75.56,15.36,
